Word,Count,Prevalence,FreqZipfUS
biliously,9,0.275,1.292
biliousness,11,0.322,1.292
bilirubin,9,-0.129,2.07
bilk,4,0.081,2.07
bilker,6,0.082,1.593
bill,4,2.576,5.073
billable,8,1.251,1.894
billabong,9,0.993,1.593
billboard,9,2.162,3.137
billbug,7,-0.695,1.292
billed,6,2.234,2.86
biller,6,0.711,1.292
billet,6,0.737,2.547
billeting,9,0.548,2.195
billfish,8,-0.448,1.292
billfold,8,1.017,2.406
billhead,8,-0.242,1.292
billhook,8,-0.204,1.292
billiard,8,1.821,2.925
billiardist,11,0.23,1.292
billiards,9,2.092,2.823
billing,7,2.342,3.3
billingsgate,12,-0.236,1.593
billion,7,2.437,4.047
billionaire,11,2.432,3.287
billionth,9,1.536,1.991
billon,6,0.145,1.593
billow,6,1.435,2.07
billowy,7,1.063,1.894
billposter,10,0.069,1.292
billposting,11,0.479,1.292
billsticker,11,-0.445,1.292
billycan,8,-0.347,1.292
billycock,9,-0.335,1.292
biltong,7,-0.618,1.292
bimanous,8,-1.091,1.292
bimanual,8,0.334,1.593
bimanually,10,0.338,1.292
bimbo,5,1.905,3.325
bimestrial,10,-0.73,1.292
bimetallism,11,-0.26,1.292
bimetallist,11,-0.422,1.292
bimodal,7,0.674,1.593
bimodality,10,0.521,1.292
bimolecular,11,1.06,1.292
bimonthly,9,1.427,2.292
bin,3,2.038,3.731
binary,6,2.156,2.883
binate,6,-0.214,1.292
binational,10,1.032,1.292
binaural,8,0.042,1.292
bind,4,2.323,3.527
binder,6,2.449,2.894
bindery,7,0.226,1.593
binding,7,2.427,3.341
bindingly,9,0.943,1.292
bindle,6,0.058,2.371
bindweed,8,-0.222,1.292
bing,4,1.247,3.661
binge,5,2.253,2.973
bingo,5,2.576,4.099
binman,6,-0.104,1.292
binnacle,8,-0.373,1.593
binning,7,0.003,1.292
binocular,9,2.455,1.593
binocularity,12,0.513,1.292
binocularly,11,0.59,1.292
binoculars,10,2.431,3.2
binomial,8,0.993,1.769
binomially,10,0.51,1.292
binominal,9,0.931,1.292
bint,4,-0.197,1.769
binturong,9,-1.44,1.292
binuclear,9,0.585,1.292
bio,3,1.855,3.241
bioactive,9,1.454,1.292
bioassay,8,-0.445,1.769
biocatalyst,11,1.162,1.292
biochemical,11,2.253,2.883
biochemically,13,2.437,1.292
biochemist,10,2.319,2.634
biochemistry,12,2.241,2.769
biochip,7,1.019,1.292
biocide,7,0.516,1.292
bioclimatic,11,0.712,1.292
bioclimatology,14,0.786,1.292
biodegradable,13,2.045,2.333
biodiversity,12,1.652,1.769
biodynamic,10,1.379,1.292
bioelectric,11,1.633,1.593
bioelectrical,13,1.77,1.593
bioelectricity,14,1.423,1.593
bioengineer,11,1.932,1.292
biofeedback,11,1.177,2.07
biofilm,7,1.083,1.292
biofuel,7,1.786,1.292
biogenesis,10,1.496,1.292
biogenetic,10,1.845,1.991
biogenetical,12,0.875,1.292
biogenetically,14,1.776,1.292
biogenetics,11,1.89,1.991
biogenic,8,1.375,1.769
biogeochemistry,15,0.578,1.292
biogeographically,17,1.144,1.292
biogeography,12,0.789,1.292
biographer,10,2.142,2.654
biographic,10,2.01,1.292
biographical,12,2.333,2.406
biographically,14,2.223,1.593
biography,9,2.187,3.173
biohazard,9,2.166,2.333
bioinformatics,14,0.465,1.292
biologic,8,1.315,2.195
biological,10,2.136,3.77
biologically,12,2.227,2.836
biologist,9,2.428,3.105
biology,7,2.456,3.692
bioluminescence,15,1.161,1.894
bioluminescent,14,1.331,1.894
biolysis,8,-0.287,1.292
biolytic,8,0.124,1.292
biomarker,9,1.087,1.292
biomass,7,1.605,1.593
biomathematics,14,1.2,1.292
biome,5,0.397,1.292
biomechanical,13,1.87,2.07
biomechanics,12,2.01,1.292
biomedical,10,1.945,1.991
biometeorology,14,0.707,1.292
biometric,9,2.244,2.522
biometrical,11,1.6,1.292
biometrically,13,1.751,1.593
biometrician,12,0.847,1.292
biometrics,10,1.9,1.894
biometry,8,0.926,1.292
biomorphic,10,1.175,1.593
bionic,6,2.182,2.783
bionomic,8,0.382,1.292
bionomical,10,0.265,1.292
bionomics,9,0.473,1.292
biopharmaceutical,17,1.412,1.292
biophysical,11,1.772,1.769
biophysicist,12,1.949,1.593
biophysics,10,1.993,1.769
biopic,6,1.346,1.769
biopolymer,10,1.053,1.292
biopsy,6,2.052,3.195
biopsychic,10,0.358,1.292
biopsychology,13,1.012,1.292
bioreactor,10,1.205,1.292
bioregion,9,0.813,1.292
biorhythm,9,1.326,1.769
bios,4,0.957,2.07
bioscope,8,1.017,1.292
bioscopy,8,0.569,1.292
biosensor,9,1.196,1.292
biosocial,9,0.738,1.292
biosphere,9,2.007,2.07
biostatic,9,1.104,1.292
biostatics,10,0.964,1.292
biostatistics,13,1.699,1.292
biosynthesis,12,1.66,2.292
biosynthetic,12,1.69,1.292
biosystematics,14,1.129,1.292
biota,5,-0.477,1.292
biotech,7,1.926,2.522
biotechnology,13,2.052,2.246
biotic,6,1.228,1.292
biotin,6,0.292,1.292
biotitic,8,-0.583,1.292
biotope,7,0.068,1.292
biotype,7,1.222,1.292
biparental,10,0.473,1.292
bipartisan,10,1.268,1.991
bipartisanship,14,1.279,1.292
bipartite,9,0.133,1.292
bipartition,11,0.581,1.292
biped,5,0.718,2.333
bipedal,7,1.289,2.292
biphasic,8,0.098,1.292
biphenyl,8,0.063,1.292
biplane,7,1.397,1.769
bipod,5,0.865,1.292
bipolar,7,2.248,2.925
bipolarity,10,1.515,1.292
biquadrate,10,-0.21,1.292
biracial,8,1,2.292
biracialism,11,0.596,1.292
birch,5,2.168,3.195
birchen,7,-0.749,1.292
birching,8,0.254,1.292
bird,4,2.336,4.657
birdbath,8,1.958,2.333
birdbrain,9,1.443,2.406
birdcage,8,1.929,2.69
birdcall,8,1.518,1.292
birder,6,0.392,1.292
birdhouse,9,2.431,2.438
birdie,6,1.776,3.697
birding,7,0.892,1.769
birdlife,8,0.782,1.292
birdlike,8,1.493,1.292
birdlime,8,-0.572,1.292
birdman,7,1.278,2.945
birdseed,8,1.86,2.571
birdshot,8,1.143,2.137
birdsong,8,1.588,2.406
birdwatcher,11,1.823,1.292
birdwatching,12,1.773,1.292
birefringence,13,-1.326,1.593
bireme,6,-1.143,1.292
biretta,7,-0.683,1.292
biro,4,-0.223,1.292
birr,4,-1.22,1.292
birth,5,2.576,4.44
birthdate,9,2.171,1.292
birthday,8,2.262,4.987
birthing,8,2.424,2.754
birthmark,9,2.427,3.226
birthplace,10,2.433,2.915
birthrate,9,1.728,1.593
birthright,10,1.972,2.964
birthroot,9,-0.089,1.292
birthstone,10,2.431,2.137
birthweight,11,1.557,1.292
birthwort,9,-0.867,1.292
biscotto,8,0.204,1.292
biscuit,7,2.576,3.575
bisect,6,1.424,1.769
bisection,9,1.455,1.593
bisectional,11,1.306,1.292
bisector,8,1.135,1.292
bisexual,8,2.338,3.032
bisexualism,11,1.367,1.292
bisexuality,11,2.145,1.769
bisexually,10,1.919,1.292
bishop,6,2.328,4.224
bishopric,9,-0.238,1.292
bismuth,7,0.327,1.292
bismuthic,9,-0.349,1.292
bison,5,2.147,2.547
bisque,6,1.382,2.614
bissextile,10,-1.04,1.292
bistable,8,-0.79,1.292
bistort,7,-1.317,1.292
bistre,6,-0.946,1.292
bistro,6,1.916,2.964
bisulphate,10,0.632,1.292
bisymmetric,11,0.774,1.292
bisymmetrical,13,0.958,1.292
bisymmetrically,15,0.76,1.292
bisymmetry,10,0.827,1.292
bit,3,2.431,5.371
bitable,7,0.364,1.292
bitch,5,2.576,5.227
bitchery,8,0.248,1.894
bitchiness,10,1.725,1.593
bitchy,6,2.133,3.105
bite,4,2.442,4.61
biter,5,1.433,2.769
bitewing,8,-0.318,1.292
biting,6,2.235,3.692
bitingly,8,0.902,1.292
bitmap,6,1.057,1.292
bitonality,10,-0.276,1.292
bitstock,8,-0.303,1.292
bitsy,5,1.143,2.955
bitted,6,-0.278,1.292
bitten,6,2.253,3.568
bitter,6,2.424,4.047
bitterly,8,2.332,2.894
bittern,7,-0.038,1.769
bitterness,10,2.576,3.155
bitternut,9,0.035,1.292
bitterroot,10,0.521,1.292
bitters,7,1.57,2.571
bittersweet,11,2.301,2.672
bitty,5,0.941,3.256
bitumen,7,0.214,1.769
bituminization,14,-0.182,1.292
bituminous,10,0.142,1.593
bitwise,7,0.213,1.292
biuret,6,-1.092,1.292
bivalence,9,0,1.292
bivalency,9,-0.025,1.292
bivalent,8,0.123,1.292
bivalve,7,0.857,1.292
bivariate,9,0.068,1.292
bivouac,7,0.063,2.333
biweekly,8,1.621,2.137
biyearly,8,0.622,1.292
biz,3,0.495,3.274
bizarre,7,2.184,3.864
bizarrely,9,1.596,2.137
bizarreness,11,1.438,1.292
bizzo,5,-1.628,1.292
blab,4,1.179,2.769
blabber,7,1.855,2.246
blabbermouth,12,1.891,2.754
black,5,2.439,5.225
blackball,9,1.327,2.246
blackberry,10,2.421,2.883
blackbird,9,2.214,2.925
blackbirder,11,-0.331,1.292
blackboard,10,2.435,3.077
blackbody,9,0.162,1.292
blackbuck,9,-0.422,1.292
blackcap,8,0.258,1.292
blackcock,9,-0.174,1.292
blackcurrant,12,0.603,1.593
blackdamp,9,-0.945,1.292
blacken,7,1.863,2.614
blackened,9,2.118,2.522
blackener,9,0.851,1.292
blackening,10,2.098,1.292
blacker,7,1.077,2.769
blackface,9,1.063,2.672
blackfish,9,0.989,1.593
blackguard,10,0.577,2.571
blackguardism,13,-0.22,1.292
blackguardly,12,-0.34,1.292
blackhead,9,2.445,1.991
blackheads,10,2.065,2.07
blackheart,10,0.994,1.292
blacking,8,1.255,2.723
blackish,8,1.349,1.292
blackjack,9,2.256,3.612
blackleg,8,-0.028,1.292
blacklegs,9,-0.082,1.292
blacklist,9,2.204,2.69
blackly,7,0.712,1.894
blackmail,9,2.42,3.888
blackmailer,11,1.891,3.032
blackness,9,2.084,2.955
blackout,8,2.576,3.646
blackpoll,9,-0.552,1.292
blacksmith,10,2.323,3.325
blacksmithing,13,1.59,1.593
blacksnake,10,0.446,1.769
blackstrap,10,0.32,1.292
blackthorn,10,0.877,1.292
blacktop,8,1.22,2.522
blackwash,9,0.113,1.292
bladder,7,2.244,3.599
bladderless,11,1.212,1.292
bladdernose,11,-0.558,1.292
bladdernut,10,-0.987,1.292
bladderwort,11,0.192,1.292
bladdery,8,-0.372,1.292
blade,5,2.334,4.114
bladed,6,1.373,2.137
bladelike,9,0.84,1.292
blah,4,1.651,4.129
blain,5,-0.606,2.333
blamable,8,0.63,1.292
blamableness,12,-0.776,1.292
blamably,8,-0.358,1.292
blame,5,2.576,4.769
blamed,6,2.431,3.751
blameful,8,1.07,1.593
blamefully,10,0.978,1.292
blamefulness,12,0.547,1.292
blameless,9,2.239,2.634
blamelessly,11,1.97,1.292
blamelessness,13,1.629,1.292
blamer,6,1.09,1.593
blameworthiness,15,0.907,1.292
blameworthy,11,1.615,1.292
blaming,7,2.12,3.842
blanch,6,1.483,2.438
blancher,8,0.398,1.593
blanching,9,1.441,1.894
blancmange,10,-0.132,1.894
bland,5,2.124,3.04
blandish,8,0.486,1.593
blandishing,11,0.084,1.292
blandishment,12,0.006,1.292
blandishments,13,0.254,1.593
blandly,7,1.671,1.593
blandness,9,2.009,2.07
blank,5,2.351,3.987
blanked,7,2.348,2.438
blanket,7,2.444,4.113
blanketed,9,2.167,2.195
blanketing,10,1.906,1.593
blanking,8,1.884,2.246
blankly,7,2.343,1.991
blankness,9,1.837,1.593
blare,5,1.207,2.614
blarney,7,0.916,2.522
blase,5,0.675,1.593
blaspheme,9,1.466,2.468
blasphemer,10,1.464,2.468
blasphemous,11,1.944,2.654
blasphemously,13,1.687,1.292
blasphemousness,15,0.773,1.292
blasphemy,9,2.342,3.173
blast,5,2.344,4.209
blasted,7,2.576,3.654
blaster,7,1.853,3.016
blasting,8,2.225,3.292
blastocyst,10,0.438,1.292
blastoff,8,1.041,2.81
blastomeric,11,-0.538,1.292
blastopore,10,-0.381,1.292
blastula,8,-0.016,1.292
blastulae,9,-0.346,1.292
blat,4,-0.551,1.894
blatancy,8,1.129,1.292
blatant,7,1.951,3.063
blatantly,9,2.021,2.69
blather,7,0.998,2.468
blatherskite,12,-0.991,1.292
blaze,5,2.328,3.325
blazer,6,2.234,3.091
blazing,7,2.449,3.265
blazingly,9,1.85,1.292
blazon,6,0.154,1.593
blazoner,8,-0.561,1.292
blazoning,9,0.351,1.292
blazonry,8,-0.59,1.292
bleach,6,2.428,3.367
bleachable,10,1.56,1.292
bleached,8,2.576,2.991
bleacher,8,1.622,1.894
bleaching,9,2.268,2.69
bleak,5,2.241,3.04
bleakish,8,0.858,1.292
bleakly,7,1.943,1.292
bleakness,9,2.047,1.593
blear,5,-0.171,1.292
bleared,7,-0.12,1.292
bleariness,10,1.118,1.292
bleary,6,1.262,1.769
bleat,5,1.19,2.137
bleater,7,0.646,1.292
bleating,8,1.372,2.406
bleatingly,10,0.934,1.292
bleb,4,-0.979,1.292
blebby,6,-1.615,1.292
bleed,5,2.075,4.004
bleeder,7,1.75,3.077
bleeding,8,2.329,4.473
bleep,5,2.338,3.429
blemish,7,2.338,2.783
blench,6,-0.464,1.292
blencher,8,-0.788,1.292
blenching,9,-0.573,1.292
blend,5,2.249,3.632
blende,6,-0.812,2.672
blended,7,2.258,2.883
blender,7,2.438,3.226
blending,8,2.187,2.723
blennioid,9,-1.595,1.292
blenny,6,-1.111,1.292
bless,5,2.34,4.544
blessed,7,2.324,4.14
blessedly,9,1.488,1.894
blessedness,11,1.262,1.991
blessing,8,2.576,3.987
blessings,9,2.318,3.608
blest,5,-0.123,2.07
bleu,4,0.807,2.848
blew,4,2.576,4.499
blight,6,1.562,2.769
blighted,8,1.593,2.137
blighter,8,0.79,2.547
blighting,9,1.027,1.593
blimey,6,1.381,3.07
blimp,5,2.079,3.024
blind,5,2.438,4.661
blinded,7,2.249,3.571
blinder,7,1.641,2.137
blindfish,9,0.066,1.292
blindfold,9,2.342,3.241
blindfolded,11,2.426,3.084
blinding,8,2.25,3.173
blindingly,10,1.774,1.991
blindly,7,2.208,3.048
blindness,9,2.231,3.124
blinds,6,2.26,3.333
blindside,9,2.179,1.991
blindworm,9,0.012,1.769
bling,5,2.058,3.084
blink,5,2.348,3.705
blinked,7,2.422,3.111
blinker,7,1.939,2.406
blinkered,9,0.5,1.292
blinking,8,2.428,3.349
blinkingly,10,0.725,1.292
blinks,6,2.576,2.783
blintz,6,0.041,1.991
blip,4,1.719,2.915
bliss,5,2.249,3.499
blissful,8,2.42,2.739
blissfully,10,2.427,2.468
blissfulness,12,1.985,1.292
blister,7,2.25,2.982
blistered,9,2.205,2.406
blistering,10,2.254,2.69
blisteringly,12,1.491,1.292
blistery,8,1.019,1.292
blithe,6,1.538,2.371
blithely,8,1.099,2.438
blitheness,10,0.868,1.292
blither,7,0.781,1.292
blithering,10,1.621,2.571
blithesome,10,0.473,1.292
blithesomely,12,0.404,1.292
blithesomeness,14,0.257,1.292
blitz,5,2.014,3.105
blitzkrieg,10,0.838,2.522
blizzard,8,2.434,3.292
bloat,5,2.341,2.723
bloated,7,2.576,3.231
bloater,7,1.105,1.769
bloating,8,2.33,2.406
blob,4,2.116,3.077
blobbed,7,0.882,1.292
blobby,6,0.797,2.07
bloc,4,0.396,2.982
block,5,2.335,4.607
blockade,8,2.217,3.189
blockader,9,0.246,1.292
blockage,8,2.182,2.836
blockbuster,11,2.346,3.032
blocked,7,2.29,3.832
blocker,7,2.328,2.571
blockhead,9,1.752,2.915
blockheaded,11,1.466,1.593
blockheadedness,15,1.172,1.292
blockhouse,10,0.812,2.371
blocking,8,2.338,3.76
blockish,8,0.897,1.292
blockishly,10,0.081,1.292
blockishness,12,0.323,1.292
blocky,6,0.896,1.593
blog,4,2.439,2.823
blogger,7,2.259,1.292
blogosphere,11,0.891,1.292
bloke,5,1.748,3.67
blond,5,1.461,4.019
blonde,6,2.576,4.144
blondeness,10,1.079,1.593
blondish,8,1.23,1.991
blondness,9,1.151,1.593
blood,5,2.576,5.269
bloodbath,9,2.165,3.155
bloodcurdling,13,1.805,2.246
blooded,7,1.585,2.672
bloodguilt,10,0.075,1.292
bloodhound,10,2.333,2.999
bloodied,8,2.064,2.754
bloodily,8,1.45,1.593
bloodiness,10,1.913,1.292
bloodless,9,2.263,1.991
bloodlessly,11,1.199,1.292
bloodlessness,13,1.252,1.292
bloodletting,12,1.356,2.137
bloodline,9,2.178,2.783
bloodlust,9,1.587,2.292
bloodmobile,11,0.392,1.769
bloodroot,9,0.316,2.137
bloodshed,9,2.09,3.296
bloodshot,9,2.141,2.723
bloodstain,10,2.252,2.406
bloodstained,12,2.327,2.522
bloodstock,10,0.542,1.292
bloodstone,10,1.069,1.593
bloodstream,11,2.253,3.241
bloodsucker,11,2.102,2.571
bloodsucking,12,1.996,2.438
bloodthirstily,14,0.928,1.292
bloodthirstiness,16,1.444,1.292
bloodthirsty,12,2.115,2.991
bloodworm,9,1.073,1.593
bloody,6,2.335,4.585
bloom,5,2.576,3.742
bloomer,7,2.163,2.571
bloomers,8,2.111,2.69
blooming,8,2.345,3.206
bloomless,9,1.044,1.292
bloomy,6,0.49,1.292
blooper,7,1.838,2.406
blossom,7,2.346,3.559
blossomed,9,2.321,2.571
blossomless,11,0.908,1.292
blossomy,8,0.356,1.292
blot,4,2.032,2.982
blotch,6,1.791,2.333
blotched,8,1.687,1.769
blotchy,7,1.813,2.195
blotless,8,0.351,1.292
blotter,7,1.582,2.739
blotting,8,1.869,2.406
blotto,6,0.157,2.333
blouse,6,2.326,3.728
bloused,7,0.598,1.292
blousing,8,0.45,1.292
blouson,7,-0.134,1.593
blow,4,2.31,4.989
blowback,8,1.371,2.496
blower,6,2.3,2.547
blowfish,8,2.26,2.797
blowfly,7,0.863,1.769
blowgun,7,0.953,1.894
blowhard,8,1.004,2.593
blowhole,8,1.834,1.894
blowing,7,2.432,4.257
blowjob,7,1.888,3.211
blowlamp,8,-0.121,1.292
blown,5,2.43,4.201
blowout,7,2.162,3.178
blowpipe,8,1.438,1.991
blowsy,6,0.017,1.292
blowtorch,9,2.078,2.935
blowup,6,1.494,2.496
blowy,5,0.525,1.593
blowzy,6,-0.549,1.593
blub,4,0.547,1.894
blubber,7,2.234,2.935
blubberer,9,0.776,1.292
blubbering,10,2.025,2.823
blubberingly,12,0.814,1.292
blubbery,8,1.435,1.894
blucher,7,-1.134,2.69
bludgeon,8,1.642,2.406
bludgeoned,10,1.63,2.69
bludgeoner,10,1.202,1.292
blue,4,2.327,5.01
bluebeard,9,1.045,2.406
bluebell,8,1.421,1.593
blueberry,9,2.335,3.412
bluebill,8,0.412,1.292
bluebird,8,2.16,2.894
blueblood,9,1.292,1.769
bluebonnet,10,0.703,1.593
bluebook,8,1.066,2.07
bluebottle,10,0.517,1.894
bluecoat,8,0.919,1.292
bluefin,7,1.046,1.991
bluefish,8,1.032,2.246
bluegill,8,0.421,1.292
bluegrass,9,1.649,2.872
bluejacket,10,0.562,1.769
bluejay,7,1.566,2.571
bluely,6,-0.297,1.593
blueness,8,1.177,2.292
bluenose,8,0.181,1.769
blueprint,9,2.576,3.098
bluer,5,0.796,2.707
blueray,7,1.192,1.292
blues,5,2.445,4.011
bluesman,8,0.581,2.496
bluestem,8,-0.497,1.292
bluestocking,12,0.201,1.292
bluestone,9,0.708,1.894
bluesy,6,0.665,1.593
bluetongue,10,-0.159,1.292
bluetooth,9,2.438,1.292
blueweed,8,-0.2,1.292
bluff,5,2.431,3.794
bluffer,7,1.104,2.07
bluffly,7,-0.279,1.292
bluffness,9,0.373,1.292
bluing,6,0.094,1.593
bluish,6,1.255,2.195
bluishness,10,0.538,1.292
blunder,7,2.249,2.964
blunderbuss,11,0.714,2.137
blunderer,9,1.648,1.769
blundering,10,1.907,2.848
blunderingly,12,1.292,1.292
blunt,5,2.576,3.692
blunted,7,1.631,2.195
blunter,7,0.198,1.292
bluntly,7,2.172,2.707
bluntness,9,2.423,2.371
blur,4,2.43,3.333
blurb,5,1.986,2.438
blurred,7,2.337,2.872
blurredness,11,0.681,1.292
blurriness,10,1.78,1.593
blurry,6,1.988,3.143
blurt,5,1.913,2.707
blush,5,2.324,3.429
blusher,7,1.476,1.593
blushful,8,0.542,1.292
blushing,8,2.576,3.305
blushingly,10,1.534,1.292
blushless,9,0.567,1.292
bluster,7,1.752,2.333
blusterer,9,0.774,1.292
blustering,10,1.82,1.991
blusteringly,12,1.001,1.292
blusterous,10,1.097,1.292
blusterously,12,0.667,1.292
blustery,8,1.47,2.371
boa,3,1.463,3.118
boar,4,2.126,3.341
board,5,2.439,4.807
boarder,7,1.789,2.769
boarding,8,2.137,4.044
boardinghouse,13,1.335,2.137
boardroom,9,1.893,2.894
boardwalk,9,2.232,3.27
boarfish,8,-0.138,1.292
boarhound,9,0.248,1.292
boast,5,2.354,3.032
boaster,7,1.873,1.769
boastful,8,2.335,2.371
boastfully,10,1.878,1.292
boastfulness,12,1.843,1.894
boasting,8,2.185,2.823
boat,4,2.339,4.981
boatbill,8,-0.672,1.292
boatbuilding,12,0.934,1.292
boater,6,1.375,1.593
boatful,7,0.339,1.292
boathouse,9,1.973,2.894
boating,7,2.22,3.016
boatload,8,1.748,2.69
boatman,7,1.58,2.783
boatmanship,11,1.042,1.292
boatswain,9,0.691,2.672
boatwoman,9,0.716,1.292
boatyard,8,1.486,2.438
bob,3,2.437,4.961
bobbed,6,1.736,2.292
bobber,6,0.534,1.292
bobbin,6,0.84,2.195
bobbinet,8,-0.811,1.292
bobbing,7,2.014,2.797
bobble,6,1.81,1.991
bobby,5,1.6,4.842
bobcat,6,2.023,2.614
bobolink,8,-0.762,1.593
bobsled,7,1.646,2.982
bobsledder,10,1.308,2.07
bobsleigh,9,0.981,2.406
bobstay,7,-0.984,1.292
bobtail,7,1.364,2.07
bobtailed,9,1.276,1.769
bobwhite,8,-0.314,2.07
bocce,5,0.06,2.333
bock,4,-0.186,2.614
bodacious,9,1.261,2.547
bode,4,1.532,2.69
bodega,6,0.454,3.124
bodge,5,-0.318,1.593
bodhisattva,11,-0.41,2.07
bodice,6,1.15,2.371
bodied,6,1.751,1.769
bodiless,8,1.114,1.769
bodily,6,2.095,3.329
boding,6,1.121,1.292
bodingly,8,-0.146,1.292
bodkin,6,0.067,2.07
body,4,2.576,5.291
bodybuilder,11,2.108,2.468
bodybuilding,12,1.937,2.522
bodyguard,9,2.435,3.759
bodyline,8,0.869,1.292
bodysuit,8,2.264,1.292
bodysurf,8,1.341,1.991
bodywork,8,1.578,2.333
boffin,6,-0.046,1.292
bog,3,1.957,2.991
bogey,5,1.599,3.399
bogeyman,8,1.394,2.945
bogginess,9,0.733,1.292
boggle,6,1.792,2.593
boggler,7,0.544,1.292
boggy,5,1.312,2.07
bogie,5,1.094,2.707
bogtrotter,10,-0.331,1.769
bogus,5,2.091,3.435
bogusness,9,0.447,1.292
bogwood,7,-0.039,1.292
bogy,4,-0.056,1.593
bogyman,7,0.316,1.593
bohemia,7,1.332,2.371
bohemian,8,2.03,2.982
bohemianism,11,1.21,1.292
boil,4,2.213,3.775
boilable,8,0.766,1.292
boiled,6,2.314,3.522
boiler,6,2.319,3.453
boilermaker,11,1.006,2.137
boilerplate,11,1.149,2.593
boiling,7,2.576,3.626
bois,4,-0.567,1.292
boisterous,10,1.946,2.406
boisterously,12,1.595,1.769
boisterousness,14,1.3,1.292
bola,4,-0.191,1.593
bold,4,2.433,3.878
boldface,8,1.323,1.769
boldfaced,9,1.619,1.593
boldly,6,2.23,2.823
boldness,8,2.444,2.371
bole,4,-0.028,1.292
bolection,9,-1.623,1.292
bolero,6,0.822,2.137
boletus,7,-0.778,1.292
bolivar,7,-0.041,2.654
boliviano,9,-0.864,1.292
boll,4,-0.169,2.292
bollard,7,0.099,1.292
bollocks,8,1.528,3.45
bollworm,8,-0.49,1.292
bolo,4,-0.041,2.86
bologna,7,1.532,3.292
bolometer,9,-0.953,1.292
bolometric,10,-0.578,1.292
boloney,7,0.558,1.292
bolshevism,10,0.635,2.137
bolshevist,10,0.376,1.292
bolshevize,10,-0.243,1.292
bolshie,7,-0.601,1.292
bolshy,6,-0.479,1.292
bolster,7,1.607,2.522
bolsterer,9,0.918,1.292
bolt,4,2.336,3.838
bolter,6,0.556,1.292
bolting,7,1.803,2.246
boltless,8,0.803,1.292
boltlike,8,0.52,1.292
boltrope,8,-0.954,1.292
bolus,5,-0.166,2.836
bomb,4,2.247,4.729
bombard,7,1.826,2.406
bombardier,10,1.166,2.848
bombardment,11,2.082,2.935
bombardon,9,-0.665,1.292
bombast,7,0.983,1.593
bombastic,9,1.409,2.371
bombastically,13,1.07,1.292
bombazine,9,-0.639,1.292
bombed,6,2.335,3.588
bomber,6,2.236,3.624
bombing,7,2.332,3.875
bombproof,9,1.27,2.137
bombshell,9,2.201,2.964
bombsight,9,0.46,2.195
bombsite,8,1.184,1.292
bombycid,8,-1.517,1.292
bon,3,0.397,3.765
bonanza,7,1.905,3.216
bonbon,6,1.441,2.707
bond,4,2.056,4.495
bondage,7,2.321,3.236
bonded,6,2.426,3.2
bonder,6,0.327,1.769
bondholder,10,1.358,1.292
bondholding,11,0.692,1.292
bonding,7,2.437,3.485
bondless,8,1.437,1.292
bondman,7,0.754,1.292
bondsman,8,1.49,2.723
bondswoman,10,0.901,1.292
bondwoman,9,0.45,1.292
bone,4,2.31,4.416
boneblack,9,-0.569,1.292
boned,5,2.32,2.915
bonefish,8,0.839,1.292
bonehead,8,1.882,3.077
boneheaded,10,1.937,2.195
boneless,8,2.027,2.496
bonelike,8,1.074,1.292
boner,5,1.779,3.371
boneset,7,-0.066,1.292
bonesetter,10,0.598,1.593
boneshaker,10,0.878,1.894
boney,5,1.206,2.07
bonfire,7,2.44,3.246
bong,4,1.885,3.447
bongo,5,1.644,3.432
bonhomie,8,-0.019,1.894
boniness,8,0.7,1.292
bonito,6,0.112,2.371
bonk,4,1.292,2.547
bonkers,7,2.102,3.055
bonnet,6,2.011,3.274
bonneted,8,0.542,1.292
bonny,5,0.891,3.274
bonnyclabber,12,-1.149,1.292
bonobo,6,0.006,1.292
bonsai,6,1.406,2.999
bonspiel,8,-0.933,1.292
bonus,5,2.439,3.964
bony,4,1.191,3.084
bonze,5,-0.868,1.292
boo,3,1.736,4.068
boob,4,2.23,3.479
booby,5,1.801,3.406
boobyish,8,-0.119,1.292
boodle,6,-0.428,2.672
booger,6,1.235,3.091
boogeyman,9,1.508,2.848
boogie,6,2.066,3.717
boogieman,9,1.337,1.894
boohoo,6,1.059,2.07
book,4,2.431,5.247
bookable,8,0.992,1.292
bookbag,7,1.45,1.292
bookbinder,10,1.533,1.894
bookbindery,11,0.582,1.292
bookbinding,11,1.739,1.292
bookcase,8,2.434,2.982
booked,6,2.422,4.018
bookend,7,1.838,1.769
booker,6,1.771,3.305
bookie,6,1.484,3.409
booking,7,2.434,3.36
bookish,7,1.557,2.292
bookishly,9,0.857,1.292
bookishness,11,1.053,1.292
bookkeeper,10,1.901,3.111
bookkeeping,11,2.121,2.883
bookless,8,1.256,1.593
booklet,7,2.148,2.754
booklist,8,1.468,1.292
booklore,8,0.613,1.292
booklover,9,0.926,1.292
bookmaker,9,1.967,2.69
bookmaking,10,1.604,2.333
bookman,7,0.779,2.246
bookmark,8,2.576,2.634
bookmarker,10,1.405,1.593
bookmobile,10,0.767,1.769
bookplate,9,0.553,1.292
bookrack,8,0.877,1.292
bookroom,8,0.665,1.292
bookseller,10,2.245,2.07
bookselling,11,1.396,1.292
bookshelf,9,2.216,2.547
bookshop,8,2.052,2.915
bookstall,9,0.811,1.292
bookstand,9,1.872,1.292
bookstore,9,2.133,3.595
bookwork,8,1.05,1.593
